Etiqueta,Frame,Box
coche2,55,"(408.0, 173.0, 43.0, 48.0)"
coche2,56,"(408.56613756613757, 172.97354497354496, 43.03174603174603, 48.0)"
coche2,57,"(409.13227513227514, 172.94708994708995, 43.06349206349206, 48.0)"
coche2,58,"(409.6984126984127, 172.9206349206349, 43.095238095238095, 48.0)"
coche2,59,"(410.2645502645503, 172.8941798941799, 43.12698412698413, 48.0)"
coche2,60,"(410.83068783068785, 172.86772486772486, 43.15873015873016, 48.0)"
coche2,61,"(411.3968253968254, 172.84126984126985, 43.19047619047619, 48.0)"
coche2,62,"(411.962962962963, 172.8148148148148, 43.22222222222222, 48.0)"
coche2,63,"(412.5291005291005, 172.7883597883598, 43.25396825396825, 48.0)"
coche2,64,"(413.0952380952381, 172.76190476190476, 43.285714285714285, 48.0)"
coche2,65,"(413.66137566137564, 172.73544973544975, 43.317460317460316, 48.0)"
coche2,66,"(414.2275132275132, 172.7089947089947, 43.34920634920635, 48.0)"
coche2,67,"(414.7936507936508, 172.68253968253967, 43.38095238095238, 48.0)"
coche2,68,"(415.35978835978835, 172.65608465608466, 43.41269841269841, 48.0)"
coche2,69,"(415.9259259259259, 172.62962962962962, 43.44444444444444, 48.0)"
coche2,70,"(416.4920634920635, 172.6031746031746, 43.476190476190474, 48.0)"
coche2,71,"(417.05820105820106, 172.57671957671957, 43.507936507936506, 48.0)"
coche2,72,"(417.62433862433863, 172.55026455026456, 43.53968253968254, 48.0)"
coche2,73,"(418.1904761904762, 172.52380952380952, 43.57142857142857, 48.0)"
coche2,74,"(418.7566137566138, 172.4973544973545, 43.6031746031746, 48.0)"
coche2,75,"(419.32275132275134, 172.47089947089947, 43.63492063492063, 48.0)"
coche2,76,"(419.8888888888889, 172.44444444444446, 43.666666666666664, 48.0)"
coche2,77,"(420.4550264550264, 172.41798941798942, 43.698412698412696, 48.0)"
coche2,78,"(421.021164021164, 172.39153439153438, 43.73015873015873, 48.0)"
coche2,79,"(421.58730158730157, 172.36507936507937, 43.76190476190476, 48.0)"
coche2,80,"(422.15343915343914, 172.33862433862433, 43.79365079365079, 48.0)"
coche2,81,"(422.7195767195767, 172.31216931216932, 43.82539682539682, 48.0)"
coche2,82,"(423.2857142857143, 172.28571428571428, 43.857142857142854, 48.0)"
coche2,83,"(423.85185185185185, 172.25925925925927, 43.888888888888886, 48.0)"
coche2,84,"(424.4179894179894, 172.23280423280423, 43.92063492063492, 48.0)"
coche2,85,"(424.984126984127, 172.20634920634922, 43.95238095238095, 48.0)"
coche2,86,"(425.55026455026456, 172.17989417989418, 43.98412698412698, 48.0)"
coche2,87,"(426.1164021164021, 172.15343915343917, 44.01587301587301, 48.0)"
coche2,88,"(426.6825396825397, 172.12698412698413, 44.04761904761905, 48.0)"
